Machine,Start_date,Start_time,End_date,End_time,Uptime,Downtime,Fault,Stops_classification,Transformation,Component,Failure_mode,Stop_classification,Comment
R,2021-06-21,12:57:00,2021-06-21,13:01:00,33,4,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-06-21,12:40:00,2021-06-21,12:58:00,16,18,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-06-21,12:13:00,2021-06-21,12:24:00,43,11,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-06-21,11:11:00,2021-06-21,13:48:00,54,157,End Product,BFS,No Powder Supply,Starvation from MSG,,,
R,2021-06-21,11:11:00,2021-06-21,12:22:00,54,71,Machine Stopped by Operator,Planned Stop,CIL,Spillage hopper,,,
R,2021-06-21,11:00:00,2021-06-21,14:11:00,43,191,Machine Stopped by Operator,Planned Stop,CIL,Forming set,,,
R,2021-06-21,11:00:00,2021-06-21,13:07:00,43,127,Machine Stopped by Operator,Planned Stop,CIL,Main drive,,,
R,2021-06-21,10:15:00,2021-06-21,11:30:00,15,75,Machine Stopped by Operator,Planned Stop,RLS,Shiftly RLS,,,
R,2021-06-21,10:04:00,2021-06-21,10:17:00,4,13,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-06-21,09:00:00,2021-06-21,10:00:00,22,60,Machine Stopped by Operator,Planned Stop,CIL,Triverter,,,
R,2021-06-21,08:55:00,2021-06-21,09:04:00,17,9,Coder Fault,Planned Stop,Changeover,Ribbon Changeover,,,
R,2021-06-21,08:25:00,2021-06-21,08:38:00,16,13,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-06-21,08:00:00,2021-06-21,08:09:00,40,9,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-06-21,07:00:00,2021-06-21,07:20:00,2880,20,Machine Stopped by Operator,Planned Stop,,,,,
R,2021-06-19,07:00:00,2021-06-21,07:00:00,0,2880,Machine Stopped by Operator,Planned Stop,Schedule Complete,,,,
R,2021-06-19,06:50:00,2021-06-19,07:00:00,174,10,Machine Stopped by Operator,Planned Stop,,,,,
R,2021-06-19,03:47:00,2021-06-19,03:56:00,37,9,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-06-19,02:57:00,2021-06-19,03:10:00,103,13,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-06-19,02:10:00,2021-06-19,03:32:00,56,82,Machine Stopped by Operator,Planned Stop,RLS,Shiftly RLS,,,
